"operon","genes"
"[[gene|ywqG]]","[[gene|ywqG]]"
"[[gene|yokI]]→[[gene|yokL]]","[[gene|yokI]]-[[gene|yokJ]]-[[gene|yokK]]-[[gene|yokL]]"
"[[gene|mbl]]","[[gene|mbl]]"
"[[gene|coaX]]→[[gene|cysK]]","[[gene|coaX]]-[[gene|yacC]]-[[gene|yacD]]-[[gene|cysK]]"
"[[gene|htrC]]","[[gene|htrC]]"
"[[gene|rpmGA]]","[[gene|rpmGA]]"
"[[gene|scoC]]","[[gene|scoC]]"
"[[gene|pepF]]","[[gene|pepF]]"
"[[gene|pucJ]]→[[gene|pucM]]","[[gene|pucJ]]-[[gene|pucK]]-[[gene|pucL]]-[[gene|pucM]]"
"[[gene|yczE]]","[[gene|yczE]]"
"[[gene|ywnC]]","[[gene|ywnC]]"
"[[gene|guaD]]","[[gene|guaD]]"
"[[gene|sco]]→[[gene|ypmT]]","[[gene|sco]]-[[gene|ypmR]]-[[gene|ypmS]]-[[gene|ypmT]]"
"[[gene|ydbO]]","[[gene|ydbO]]"
"[[gene|rapF]]→[[gene|phrF]]","[[gene|rapF]]-[[gene|phrF]]"
"[[gene|mntR]]","[[gene|mntR]]"
"[[gene|rpmH]]","[[gene|rpmH]]"
"[[gene|ypkP]]","[[gene|ypkP]]"
"[[gene|ytvA]]","[[gene|ytvA]]"
"[[gene|ftsE]]→[[gene|ftsX]]","[[gene|ftsE]]-[[gene|ftsX]]"
"[[gene|sigK]]","[[gene|sigK]]"
"[[gene|yonR]]→[[gene|yonS]]","[[gene|yonR]]-[[gene|yonS]]"
"[[gene|helD]]","[[gene|helD]]"
"[[gene|rpsB]]","[[gene|rpsB]]"
"[[gene|spoIIGA]]→[[gene|sigG]]","[[gene|spoIIGA]]-[[gene|sigE]]-[[gene|sigG]]"
"[[gene|yybI]]","[[gene|yybI]]"
"[[gene|cymR]]→[[gene|recD2]]","[[gene|cymR]]-[[gene|yrvO]]-[[gene|trmU]]-[[gene|yrrB]]-[[gene|recD2]]"
"[[gene|yutK]]","[[gene|yutK]]"
"[[gene|cotJA]]→[[gene|yesK]]","[[gene|cotJA]]-[[gene|cotJB]]-[[gene|cotJC]]-[[gene|yesJ]]-[[gene|yesK]]"
"[[gene|ydeJ]]","[[gene|ydeJ]]"
"[[gene|yurI]]","[[gene|yurI]]"
"[[gene|pftA]]→[[gene|pftB]]","[[gene|pftA]]-[[gene|pftB]]"
"[[gene|yobV]]","[[gene|yobV]]"
"[[gene|yfkJ]]→[[gene|yfkH]]","[[gene|yfkJ]]-[[gene|yfkI]]-[[gene|yfkH]]"
"[[gene|cotE]]","[[gene|cotE]]"
"[[gene|thdF]]→[[gene|noc]]","[[gene|thdF]]-[[gene|gidA]]-[[gene|gidB]]-[[gene|noc]]"
"[[gene|gntR]]→[[gene|gntZ]]","[[gene|gntR]]-[[gene|gntK]]-[[gene|gntP]]-[[gene|gntZ]]"
"[[gene|htpX]]","[[gene|htpX]]"
"[[gene|yuzC]]","[[gene|yuzC]]"
"[[gene|ansA]]→[[gene|ansB]]","[[gene|ansA]]-[[gene|ansB]]"
"[[gene|mnaA]]","[[gene|mnaA]]"
"[[gene|cotH]]→[[gene|ywrJ]]","[[gene|cotH]]-[[gene|cotB]]-[[gene|ywrJ]]"
"[[gene|yocB]]","[[gene|yocB]]"
"[[gene|sufA]]","[[gene|sufA]]"
"[[gene|spoIIP]]→[[gene|yqxA]]","[[gene|spoIIP]]-[[gene|yqxA]]"
"[[gene|comK]]","[[gene|comK]]"
"[[gene|yizD]]","[[gene|yizD]]"
