id	locus	title	Genomic Context->strand
000E237B00539E6850B6A50EE01BA02844B6ACBC	BSU_17890	tkt	1
001BF5429FA86D39BC64447929BC20FCBD988C69	BSU_20290	yorQ	0
0021EF5F0934B4D6A1A52C5B34B36D135E6D8CE8	BSU_21700	ypoP	1
002AB675506D7A5F238A703DEE2EE1E0DE1F2900	BSU_39850	yxbF	0
003047E90159765F9F0E499FD760F95FFF4AC360	BSU_15640	rqcH	0
0037A6808E75C2A2E207A7005EFDA71FCE90BAD8	BSU_02950	niaP	1
0056478385A2ABFEF9CB17D2E6290AC71E6B3891	new_4047463_4047537	S1517	1
005D37F34CA3D6891F7D8FF7A2AFA1CBCB556FFE	BSU_01650	namZ	0
00798BB5A769C464CC5FDDF7D9E41D30B473B9A8	BSU_00390	yabD	1
0088EB2863FEC9E911332A8D9CDEB91D2A574FFA	BSU_17540	ynaF	1
0098E3A710385B31987947E6206A89000CA32F55	new_4164565_4165231	S1559	1
00994D9EB7ACCF9CC9DD16915409751C7A688D52	new_2195060_2195563_c	S777	0
009BB4460A9374A8259DE7BD05724467198E0A90	BSU_05344	ydzS/2	1
00A19F2D960FAD4A6DA34D027828E1135A3BE218	BSU_07180	yezB	1
00A42FDB559BE2647CD682180420A435E2E7035F	BSU_29780	facZ	0
00A4A90685CED4AD46829C45718CF26F1D62F5D3	BSU_05810	gmuB	1
00A6C1AD9D27E900133E0F9007C76E1812C3A2AA	BSU_33870	yvbI	1
00B4CA4E25858A56F9D4E0ADEE2643F203FEC613	BSU_16770	dapA	1
00BCAAE16576DC5426A652580C69A570FC7A1C2C	BSU_08730	perR	1
00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC	BSU_24360	spoIIIAH	0
00CF2A4EDFB3F294B61AFD87E782B4CF95E42763	new_3582691_3582779_c	S1330	0
00E18FA53BD5DC6FAEEF2F3C2E5DC66F34C9B29D	new_1603712_1603778	S563	1
00E1BA27A59452CCE7E5AD95513FC0B3353E9729	BSU_02710	yczC	0
00E354BDFAF1AB05538B0DB8C4F8216855189A8C	new_1369127_1369854_c	S464	0
00EA4A93E898A531A075DCC1C2948086DFD31FBA	new_1041710_1041809_c	S336	0
00F319EEC8420F859BA2657B9D4D1281853A94BD	BSU_40480	yycB	1
010C64CC0257DEA32B1BC97C3B130CCD096C880F	new_1041733_1041928	S337	1
011017A2C4F342B52293588CFC661BF46181A8E6	new_1268593_1268828	S435	1
013548BF11BC7848692FFD20A9BEE43DE08A5334	new_3386852_3387780_c	S1270	0
0136394A52759CEEDD8DE074ED74033C6FFB8435	BSU_15940	smc	1
0136476AEE2DA2C7DC6A7C2612B30067AFBC882A	new_839233_839338_c	S266	0
013BFEC4A381555841F45AD4259A8C061E58FCEC	new_3509781_3509830_c	S1307	0
01406A168C37FCC9C5950D204F0F3887BFE9CDA6	new_2161801_2162107_c	S768	0
01412FA454DDBA12622E3B32C433F8059123661B	BSU_00240	csfB	1
01419E9D0CB49D8683A6C3D3CD0074D5A150487C	BSU_09780	yheC	0
014FBE45EDF28C4F89386D827EE1DC18A537EB04	new_1571801_1571902_c	S551	0
015989AAB862E418C944AB35DA3605863F059CE9	BSU_31670	yuxO	0
0164C052E3D5AD83035A66E547D801CF4E16B22C	BSU_31730	yuzC	1
017A57F27DD8E515242FB658A61E74C1D58273CC	BSU_13850	pfeT	1
0185343269B1A5523F0660C74E685F414E60375D	new_1900515_1901611	S640	1
018C3EC5DE4F85EE96593F9C2B6C7D7D1F7251F0	BSU_25565	BSU_25565	0
018E9DEFC7BF236E0163D1945FC7AD07531063E8	BSU_13360	ykoP	1
01946B5ADB1B4625A5C0ABF20A9B0B9A7CB0C3E6	new_1570575_1571849	S550	1
0197A037D2AF049B295E1DA60187D4614B2BAC51	BSU_15560	pyrE	1
019C077F1EC2449201CCE06DA6B183E1C1AEA240	new_3495702_3495768_c	S1306	0
01AC4E8F76170E04A215C20EB6E833D3661EA49F	BSU_12110	yjfA	0
01AED5A49ABB201EA97AA14995FCEEE1E6C75B56	BSU_28475	lysCB	0
01B7BBC2142D54820FECA8456B49C32E20AACAC6	new_667383_667465	S220	1
01BE35FB190DDC77BE19C013A8E0D980B132CBE1	BSU_20830	yopN	0
01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87	BSU_12170	forE1	1
01C7486AFE6598630BCD0E5327CA03C3F437CCCE	new_926651_926919_c	S289	0
01CE4BBBEB0C0855201D396FB8036F72B64EA7DD	BSU_04430	ydbD	0
